utterance,act
whats the post code,request
thank you good bye,thankyou
hello,hello
north,inform
address,request
address,request
phone number,request
thank you good bye,thankyou
i want to find a moderately priced restaurant that serves vietnamese food,inform
any noise,inform
any,inform
whats the address,request
thank you goodbye,thankyou
sil,no_act
i want,no_act
i want to find a restaurant in the center,inform
does it serve fusion food,confirm
i want fusion food,inform
how about european food,reqalts
what is the phone number,request
what is the post code,request
unintelligible,no_act
noise,no_act
what is the post code,request
good bye,bye
expensive restaurant in the east,inform
i dont care,inform
where is the phone number,request
thank you goodbye,thankyou
restaurant,inform
german,inform
european,inform
expensive,inform
is it expensive,confirm
address,request
phone number,request
an area,request
thank you good bye,thankyou
unintelligible irish food,inform
irish,inform
irish fdod,inform
irish food,inform
irish food,inform
modern european,inform
address,request
phone number,request
thank you good bye,thankyou
the center of town,inform
barbecue food,inform
how about indian,reqalts
no italian food,negate
um doesnt matter if its in the center of the town,inform
um,no_act
how about italian food,reqalts
doesnt matter,inform
whats their price range,request
and their phone number,request
thank you good bye,thankyou
unintelligible,no_act
cheap,inform
north,inform
north,inform
address,request
north,inform
unintelligible,no_act
thank you good bye,thankyou
cheap restaurant,inform
any where,inform
mediterranean,inform
price range,request
address and phone number,request
good bye,bye
expensive restaurant in the south,inform
any,inform
south,inform
expensive,inform
would like expensive,inform
south part of town,inform
south,inform
phone number,request
south area,inform
south part of town,inform
dont care,inform
north,inform
south,inform
west,inform
other,reqalts
west,inform
i dont care,inform
south,inform
thank you goodbye noise,thankyou
address,request
south,inform
thank you goodbye,thankyou
south part of town,inform
expensive,inform
anything else,reqalts
anything else,reqalts
address,request
phone number,request
type of food,request
thank you good bye,thankyou
unintelligible,no_act
uh cheap restaurant in the north part of town,inform
the phone number and post code,request
thank you goodbye,thankyou
cheap,inform
dont care,inform
east,inform
address,request
phone number phone number,request
thank you good bye,thankyou
christmas food west of town,inform
christmas food,inform
what about british food,reqalts
whats the address,request
phone number,request
price range,request
whats the price range,request
thank you good bye,thankyou
looking for something moderately priced on the north side of town,inform
good whats the address,request
whats the phone number,request
thank you good bye,thankyou
i want an expensive restaurant in the east part of town,inform
dont care,inform
is it expensive,confirm
is there anything else,reqalts
is there anything else,reqalts
whats the address phone number and post code,request
what is the post code,request
thank you good bye,thankyou
i am looking for an expensive restaurant that serves australian food,inform
i am looking for an expensive restaurant that serves australian food,inform
ye,affirm
how about asian oriental food,reqalts
what is the area,request
what is the phone number a,request
what is the area of the venue,request
thank you goodbye,thankyou
im looking for a cheap restaurant in the east part of town that serves gastropub food,inform
whats the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant in the west part of town,inform
west is the address and phone number,request
thank you good bye,thankyou
looking for a sea food restaurant,inform
i dont care,inform
noise,no_act
whats the address,request
whats the phone number,request
what kind of food does it serve,request
im looking for a sea food restaurant,inform
does it serve sea food,confirm
im looking for a sea food restaurant,inform
thank you good bye,thankyou
i want to find a restaurant in the center and it should serve corsica food,inform
how about north american,reqalts
how about north american type of food,reqalts
how about north american type of food,reqalts
whats the phone number,request
thank you good bye,thankyou
i need a restaurant in the west part of town that serves english food,inform
how about one that serves british food,reqalts
what is the address and phone number,request
what is the price range,request
thank you good bye,thankyou
i would like a moderately priced restaurant,inform
spanish food,inform
what is the address,request
what is the phone number,request
what is the area,request
thank you good bye,thankyou
im looking for a cheap restaurant,inform
moroccan food,inform
okay how about indian food,reqalts
what is the address,request
thank you goodbye,thankyou
i need a restaurant in the west part of town,inform
uh it doesnt matter,inform
expensive,inform
japanese,inform
italian,inform
cheap,inform
okay,no_act
west,inform
moderate,inform
phone number,request
thank you good bye,thankyou
i need a moderately priced restaurant in the north part of town,inform
phone number,request
sil,no_act
what type of food do they serve,request
what type of food,request
thank you good bye,thankyou
moderately priced in the south part of town,inform
any,inform
south,inform
anything else,reqalts
anything elses,reqalts
another,reqalts
dont care,inform
um do not care,inform
i dont care bye,inform
sil,no_act
phone number,request
south part of town,inform
address,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the north part of town,inform
is there anything else,reqalts
anything else,reqalts
can i get their phone number,request
type of food do they serve,request
thank you good bye,thankyou
um i would like to find an expensive restaurant in the south part of town,inform
um it doesnt matter,inform
um can i get the address and phone number,request
can you repeat that,repeat
sil,no_act
can you repeat the phone number and address please,request
can you repeat the address please,request
thank you,thankyou
okay thank you goodbye,thankyou
i want a cheap restaurant in the north part of town,inform
can i have their phone number,request
and the post code,request
thank you good bye,thankyou
im looking for a cheap restaurant in the north part of town,inform
address and phone number,request
phone number,request
phone number,request
thank you goodbye,thankyou
noise,no_act
um im looking for a cheap restaurant,inform
vietnamese,inform
is there another,reqalts
and the address,request
what area is that,request
thank you good bye,thankyou
noise,no_act
unintelligible,no_act
restaurant in the west part of town,inform
system irish food,inform
system,no_act
im looking for a cheap restaurant in the south part of the town,inform
could i get their address and phone number,request
thank you good bye,thankyou
noise,no_act
north,inform
cheap,inform
what is the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant that serves malaysian food,inform
is there any that serve european food,inform
thank you good bye,thankyou
swiss food,inform
any,inform
address,request
address,request
thank you good bye,thankyou
sil,no_act
im looking for a re,inform
in the center of town,inform
im looking for romanian food,inform
romanian food,inform
what about asian oriental food,reqalts
whats the phone number,request
thank you good bye,thankyou
sil,no_act
east,inform
east,inform
cheap,inform
phone number,request
address,request
thank you good bye,thankyou
uh yeah can i find a restaurant in the south part of town serving turkish food,affirm
okay how about chinese food,reqalts
uh chinese,inform
okay and whats the price range,request
okay and price range,request
and whats their address,request
okay thank you good bye,thankyou
im looking for a restaurant in the north part of town,inform
moderate price range,inform
can i get the address and phone number,request
okay thank you good bye,thankyou
i want a restaurant,inform
that serves,no_act
i want a restaurant that serves cantonese food,inform
how about north american food,reqalts
north american,inform
north american food,inform
what is the address,request
what is the phone number,request
what is the price range,request
thank you good bye,thankyou
chinese restaurant in the south part of town,inform
chinese,inform
can i get the phone number,request
can i get the price range,request
thank you good bye,thankyou
find restaurant in north part of town serving asian food,inform
doesnt matter,inform
doesnt matter,inform
what is the address and phone number,request
cough,no_act
what is the address,request
thank you good bye,thankyou
im looking for a cheap restaurant in the north part of town,inform
can i have the phone number,request
thanks bye bye,thankyou
unintelligible,no_act
unintelligible,no_act
unintelligible,no_act
indian food,inform
address,request
phone number,request
price range,request
thank you good bye,thankyou
gastropub,inform
dont care,inform
address,request
address,request
thank you good bye,thankyou
north part of town,inform
dont care,inform
christmas food,inform
sil,no_act
asian food,inform
asian oriental,inform
address,request
address,request
phone number,request
thank you goodbye,thankyou
im looking for a restaurant in the south part of town it should serve jamaican food,inform
south,inform
i dont care,inform
what is the address,request
what type of food does it serve,request
do you have jamaican restaurant,inform
how about chinese,reqalts
okay thank you good bye,thankyou
im looking for an expensive restaurant in the east part of town,inform
pizza,no_act
steak,inform
anything else,reqalts
what is the address phone number and type of food,request
what type of food,request
thank you good bye,thankyou
restaurant in the west part of town,inform
west,inform
welch food,inform
british food,inform
phone number,request
address,request
price range,request
thank you goodbye,thankyou
center,inform
center,inform
italian,inform
italian food,inform
telephone number,request
price range,request
price,request
price range,request
phone number,request
thank you good bye,thankyou
cheap italian,inform
any,inform
address,request
thank you good bye,thankyou
i want an irish restaurant thats expensive,inform
how about italian,reqalts
whats the address phone number and area,request
thank you good bye,thankyou
static,no_act
east,inform
dont care,inform
is it moderately priced,confirm
is it moderately priced,confirm
whats the address,request
noise,no_act
noise,no_act
whats the address,request
whats the address,request
thank you good bye,thankyou
moderately priced,inform
indian food,inform
anything else,reqalts
anything else,reqalts
is there anyone else,reqalts
phone number,request
thank you good bye,thankyou
moderately priced restaurant,inform
any,inform
south,inform
thank you good bye,thankyou
i want to find a restaurant in the east part of town that serves basque food,inform
what about indian food,reqalts
can i have the address,request
what is the address,request
and the telephone number,request
thank you good bye,thankyou
id like a moderately priced restaurant in the north part of town,inform
whats the address,request
what type of food do they serve,request
thank you good bye,thankyou
im looking for a restaurant that serves austrian food,inform
austrian food,inform
what about turkish food,reqalts
can i have the address and postal code,request
thank you good bye,thankyou
expensive restaurant that serves vegetarian food,inform
thanks us,thankyou
vegetarian food,inform
asian oriental type of food,inform
expensive restaurant asian food,inform
what is the phone number,request
and the area,request
thank you good bye,thankyou
moderately priced priced restaurant,inform
serving mexican food,inform
international food,inform
address and postcode,request
postcode,request
thank you goodbye,thankyou
i am looking for an expensive restaurant on the east part of town,inform
italian,inform
how about,no_act
steak,inform
any food that serves any restaurant thats expensive,inform
can i have the address and post code,request
the post code,request
thank you goodbye,thankyou
looking for a cheap restaurant in the east part of town,inform
address and phone number,request
phone number,request
thank you good bye,thankyou
polynesian food,inform
any,inform
venue,inform
what type of venue,request
polynesian food,inform
european food,inform
address,request
phone number,request
thank you good bye,thankyou
noise,no_act
noise,no_act
i would like to find a moderately priced restaurant in the north part of town please,inform
um what is the address and phone number,request
what is its phone number,request
noise,no_act
what is the phone number please,request
noise,no_act
noise,no_act
noise,no_act
um thank you goodbye,thankyou
im looking for a restaurant in the south part of town,inform
polynesian,inform
italian,inform
phone number,request
post code,request
thank you good bye,thankyou
im looking for a moderate priced restaurant in the south part of town,inform
moderately priced,inform
the south part of,inform
its in the south,inform
okay,no_act
where is it,request
is it in the south part of town,confirm
start again,restart
im looking for a moderately priced restaurant,inform
okay,no_act
can i have the address,request
is it in the south part of town,confirm
can i have the phone number,request
whats the phone number,request
in the south part of town,inform
thank you good bye,thankyou
i am looking for a moderately priced restaurant in the south part of town,inform
yes,affirm
any food,inform
im looking for a restaurant in the south part of town,inform
is it in the moderate price range,confirm
is there anything else,reqalts
what is the address,request
thank you goodbye,thankyou
unintelligible,no_act
unintelligible,no_act
expensive french,inform
expensive french food,inform
no something else,negate
i want french food,inform
french food any part of town,inform
expensive,inform
address and phone number,request
thank you good bye,thankyou
cheap restaurant south part of town,inform
address,request
phone number,request
thank you goodbye,thankyou
cheap restaurant in the north,inform
cheap,inform
address,request
phone number,request
type of food,request
thank you,thankyou
bye,bye
thank you good bye,thankyou
sil,no_act
east,inform
expensive restaurant,inform
whats the address,request
phone number,request
whats the post code,request
thank you good bye,thankyou
i need to find a restaurant in the center and it should serve irish food,inform
irish food,inform
french food,inform
and can i get the address phone number and price range,request
what is the phone number,request
price range,request
thank you good bye,thankyou
moderately priced restaurant in the west,inform
west,inform
price range,request
moderate price range,inform
what part of town,request
west part of town moderately priced,inform
what is the phone number and address,request
the address,request
thank you good bye,thankyou
sil,no_act
a restaurant in the center of town serving carraibean food,inform
caribbean,inform
caribbean,inform
european food,inform
sil,no_act
modern euorpean,inform
address,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the east part of town,inform
whats the address,request
what type of food,request
thank you good bye,thankyou
im looking for a restaurant that serves romanian food,inform
dont care,inform
romanian,inform
how about thai,reqalts
what is the phone number and price range,request
what is the price range,request
thank you good bye,thankyou
thank you good bye,thankyou
im looking for a restaurant that serves scandinavian food,inform
scandinavian food,inform
how about a restaurant that serves french food,reqalts
restaurant in any area,inform
my i have the phone number,request
thank you good bye,thankyou
expensive restaurant in the south part of town,inform
dont care,inform
price range,request
what is the phone number and post code,request
thank you good bye,thankyou
moderately,inform
moderate,inform
dont care,inform
i want,no_act
hello,hello
serve hello food,hello
how about asian oriental type of food,reqalts
price range,request
price range,request
phone number,request
address,request
address,request
whats the address,request
good bye,bye
no,negate
thank you good bye,thankyou
lebanese food,inform
phone number,request
thank you,thankyou
good bye,bye
im looking for a cheap restaurant in the south part of town,inform
im good can i have the address and phone number please,request
and the phone number,request
thank you good bye,thankyou
moderately priced priced restaurant chinese food,inform
address and postcode,request
thank you goodbye,thankyou
cantonese food,inform
how about thai food,reqalts
thai food,inform
i want thai food,inform
any,inform
thai food,inform
i want thai food,inform
i dont give a damn about chinese food i want thai food,inform
address,request
im looking for a restaurant that serves thai food,inform
food from thailand,inform
i dont give a fuck if hk fusion serves chinese food im looking for thai food,inform
how about cantonese food,reqalts
how about thai food,reqalts
address,request
address,request
phone number,request
thank you,thankyou
good bye,bye
tuscan food,inform
east,inform
tuscan food,inform
south,inform
european,inform
south,inform
north,inform
north,inform
thank you good bye,thankyou
im looking for an expensive restaurant serving turkish food,inform
turkish,inform
what is the post code,request
thank you good bye,thankyou
mexican food,inform
mexican,inform
yes,affirm
price range address phone number,request
address,request
phone number,request
thank you good bye,thankyou
moderate,inform
moderate,inform
cuban,inform
cuban,inform
do you have cuban food,inform
what about british,reqalts
what unintelligible the price range,request
how about moderate,reqalts
what is the phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the east part of town,inform
i dont care,inform
im looking for a moderately priced restaurant,inform
in the east,inform
part of town,request
moderately priced restaurant in east part of town,inform
thank you,thankyou
good bye,bye
im looking for a moderately priced restaurant that serves scottish food,inform
im looking for a moderately priced restaurant that serves british food,inform
it doesnt matter,inform
phone number,request
what is the phone number,request
thank you good bye,thankyou
im looking for an expensive restaurant,inform
doesnt matter,inform
thank,thankyou
what,no_act
um anything else,inform
is it the east part of town,confirm
whats the phone number,request
um,no_act
whats,no_act
thank you good bye,thankyou
im looking for a restaurant in north part of town serving austrian food,inform
how about an indian restaurant,reqalts
what about indian,reqalts
what is the address and phone number,request
what is the price range,request
thank you good bye,thankyou
im looking for a restaurant in the south part of town that serves french food,inform
how about indian food,reqalts
indian food in the south part of town,inform
indian food in the south,inform
what is the phone number,request
thank you good bye,thankyou
i need restaurant serves spanish food,inform
whats the phone number,request
thank you good bye,thankyou
id like to find a restaurant in any area serving mediterranean food,inform
mediterranean food,inform
does it serve mediterranean food,confirm
what is the phone number,request
thank you good bye,thankyou
im looking for a restaurant in the south part of town that serves greek food,inform
how about chinese,reqalts
chinese,inform
chinese,inform
chinese food,inform
address,request
address,request
price range,request
thank you good bye,thankyou
in the east part of town,inform
moderate,inform
phone number,request
sil,no_act
phone number,request
good bye,bye
just a moment,no_act
just a moment,no_act
i want a scottish restaurant,inform
i dont care about the price range,inform
how about a gastropub restaurant,reqalts
id like,no_act
whats the phone number,request
whats the address,request
thank you good bye,thankyou
world food any price range,inform
noise,no_act
noise,no_act
portuguese food,inform
the phone number,request
address,request
thank you good bye,thankyou
expensive french food,inform
any,inform
french food,inform
expensive,inform
expensive,inform
anything else,reqalts
expensive,inform
phone number,request
thank you good bye,thankyou
hi im looking for an expensive restaurant in south part of town,hello
i dont care,inform
i dont care,inform
the address,request
phone number,request
thank you good bye,thankyou
noise,no_act
cheap restaurant in the east part of town,inform
phone number,request
noise,no_act
phone number,request
good bye,bye
spanish food,inform
cheap,inform
address,request
address,request
phone number,request
spanish food,inform
noise thank you goodbye,thankyou
hi im looking for a moderately priced restaurant in the south part of town,hello
what is the address,request
what is the phone number,request
thank you good bye,thankyou
noise,no_act
im looking for a restaurant in the north part of town,inform
french,inform
phone number,request
thank you good bye,thankyou
i need a caribbean restaurant in the south part of town,inform
what about italian food,reqalts
whats the phone number,request
whats the post code,request
thank you good bye,thankyou
im looking for a cheap restaurant in the south part of town,inform
yes,affirm
what type of food,request
what is the address and phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the north part of town,inform
what is the phone number,request
thank you goodbye,thankyou
moderately priced north part of town,inform
yes,affirm
what is the address and phone number,request
thank you good bye,thankyou
im looking for an expensive restaurant in the south part of town,inform
any type of food,inform
what is the phone number,request
thank you good bye,thankyou
id like to find japanese food,inform
any,inform
can i get the address,request
how about the phone number,request
and the food type,inform
im looking for a moderately priced restaurant in the west part of town,inform
is there anything else,reqalts
yes,affirm
is there anything else,reqalts
is there something else,reqalts
what is the phone number,request
whats the address,request
thank you good bye,thankyou
i would like a cheap restaurant in the north part of town,inform
is there anything else,reqalts
yes,affirm
is there anything else,reqalts
what is the address and phone number,request
thank you goodbye,thankyou
im looking for a cheap restaurant in the north part of town,inform
whats the address,request
thank you good bye,thankyou
restaurant in the east part of town international food,inform
phone number,request
thank you good bye,thankyou
sil,no_act
japanese food,inform
spice,no_act
address,request
phone number,request
phone number,request
address,request
post code,request
thank you good bye,thankyou
thank you good bye,thankyou
thank you good bye,thankyou
id like to find a restaurant serving french food,inform
is there anything else,reqalts
im sorry,no_act
is there anything else,reqalts
is there anything else,reqalts
what is the address,request
thanks good bye,bye
thank you good bye,thankyou
i want to find a restaurant that serves french food,inform
i dont care about the price range what is the address,inform
thank you good bye,thankyou
sil,no_act
a restaurant in the west part of town that serves hungarian food,inform
how about indian food,reqalts
address and phone number,request
phone number,request
thank you good bye,thankyou
an expensive restaurant in the south part of town,inform
doesnt matter,inform
sounds good whats the address,request
how about the phone number,request
thank you goodbye,thankyou
south part of town italian food,inform
cheap,inform
address,request
address,request
address,request
breathing,no_act
postal code,request
thank you good bye,thankyou
i want a restaurant that serves welsh food,inform
how about modern european type of food,reqalts
modern european type food,inform
any area,inform
what is the uh,no_act
phone number,request
thank you good bye,thankyou
looking for a cheap restaurant in the north part of town,inform
and the address,request
whats the address,request
thank you good bye,thankyou
find australian restaurant in north part of town,inform
find indian restaurant in north of town,inform
the price range,request
what is the address and phone number,request
thank you good bye,thankyou
id like a portuguese restaurant,inform
what is the address,request
thank you good bye,thankyou
im looking for turkish food in the center,inform
any thing else,no_act
yes,affirm
is there anything else,reqalts
can i have the price range,request
thank you good bye,thankyou
i want to find an expensive restaurant,inform
noise,no_act
any part,inform
it should serve french food,inform
what is the phone number,request
thank you good bye,thankyou
bistro food,inform
moderate,inform
type of food,request
what type of food,request
what do they serve,request
what type of food do they serve,request
what about bistro food,reqalts
how about british,reqalts
and the price range,request
how about a moderately priced,reqalts
price range,request
whats the price range,request
id like to find a moderately priced restaurant,inform
the price range,request
may i get the phone number,request
thank you good bye,thankyou
im looking for a world food restaurant in the east part of town,inform
how about chinese food,reqalts
whats the address,request
whats the phone number,request
whats the post code,request
thank you good bye,thankyou
sea food,inform
any,inform
address,request
thank you good bye,thankyou
i want a cheap restaurant that serves european food,inform
how about vietnamese food,reqalts
whats their phone number,request
thank you good bye,thankyou
a cheap restaurant serving mexican food,inform
how about chinese,reqalts
address,request
phone number,request
good bye,bye
id like a restaurant in the center that serves danish food,inform
yes,affirm
how about a restaurant that serves thai food,reqalts
how about a restaurant that serves thai food,reqalts
id like thai food,inform
i dont care can i try again,inform
thai food,inform
id like thai food,inform
thank you,thankyou
thank you,thankyou
stop,bye
start over,restart
try again,no_act
id like a restaurant that serves thai food,inform
id like thai food,inform
id like thai food,inform
id like thai food,inform
thank you goodbye,thankyou
hello welcome,hello
south,inform
would you like something,no_act
steak house,inform
indian,inform
and whats the phone number,request
thank you good bye,thankyou
moderately priced restaurant,inform
any part,inform
lebanese,inform
address,request
and the phone number,request
thank you good bye,thankyou
moderately priced west part of town,inform
phone number,request
address,request
thank you good bye,thankyou
im looking for a restaurant in the center of town that serves thai food,inform
doesnt matter,inform
thai food,inform
what is the phone number,request
what is the address,request
thank you good bye,thankyou
breath id like a cheap restaurant in the north part of town,inform
breath is there anything else,reqalts
could i have the address and phone number please,request
breath thank you goodbye,thankyou
noise,no_act
unintelligible,no_act
looking for moderately priced restaurant that serves creative food,inform
how about british food,reqalts
how about creative food,reqalts
how about creative food,reqalts
and british food,inform
what is the telephone number,request
thank you good bye,thankyou
i want a restaurant that serves creative food,inform
how about north american type of food,reqalts
north american type of food,inform
whats the address,request
phone number,request
post code,request
thank you good bye,thankyou
i want a cheap restaurant in the north part of town,inform
whats the address and phone number,request
thank you good bye,thankyou
im looking for a restaurant in the center,inform
it should serve belgian food,inform
what about belgian food,reqalts
what about korean food,reqalts
what is the phone number,request
noise,no_act
sil,no_act
whats the phone number,request
whats the address,request
thank you good bye,thankyou
im looking for an expensive restaurant that serves,inform
cantonese food,inform
okay what about north american food,reqalts
can i have the phone number,request
can i have the post code,request
thank you good bye,thankyou
expensive restaurant,inform
expensive,inform
south part of town,inform
what price range,request
expensive price range,request
is there any expensive restaurant,inform
what is the address,request
thank you good bye,thankyou
id like a restaurant in the north part of town serving swiss food,inform
id like a restaurant in the north part of town serving indian food,inform
id like a restaurant in the north part of town serving indian food,inform
id like an indian restaurant,inform
what is the address phone number and price range,request
what is the price range,request
thank you good bye,thankyou
noise,no_act
expensive restaurant south part of town,inform
um,no_act
whats the address and phone number,request
is it expensive,confirm
thank you good bye,thankyou
moderately,inform
price,request
west,inform
address,request
address,request
can i have the address,request
phone number,request
post code,request
thank you good bye,thankyou
noise,no_act
mexican food,inform
could i have the address and phone number,request
thank you good bye,thankyou
id like a cheap restaurant in the south part of town,inform
what is the address,request
and the telephone number,request
and what type of food do they serve,request
good bye thank you,thankyou
im looking for moderately priced restaurant in the east part of town,inform
whats the address,request
whats the post code,request
thank you good bye,thankyou
steak house,inform
british food,inform
moderate,inform
any part,inform
phone number,request
phone number,request
thank you good bye,thankyou
noise,no_act
east,inform
british food,inform
address,request
phone number,request
noise,no_act
post code,request
thank you good bye,thankyou
im looking for a restaurant in the north part of town that serves thai food,inform
thai,inform
is it in the north part of town,confirm
north part of town,inform
how about in the west area,inform
is there one in the west area,inform
how about west,reqalts
how about the west area,reqalts
thank you good bye,thankyou
unintelligible,no_act
sil,no_act
sil,no_act
dont care,inform
what type of food do they serve,request
korean,inform
phone number,request
unintelligent,no_act
thank you good bye,thankyou
european food,inform
in the center,inform
what is the address,request
what is the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant in the north part of town,inform
anything else,reqalts
yes,affirm
anything else,reqalts
okay do you have the address for da vinci pizzeria,request
and the phone number,request
thank you good bye,thankyou
mexican food,inform
mexican food,inform
phone number,request
thank you good bye,thankyou
cheap restaurant,inform
any,inform
south,inform
address,request
phone number,request
thank you good bye,thankyou
restaurant in the east part of town that serves indonesian food,inform
how about chinese food,reqalts
address phone number post code,request
address,request
thank you good bye,thankyou
african food in any price range,inform
yes african food,affirm
address phone number and area,request
what area is it in,request
thank you good bye,thankyou
uh yes id like an expensive restaurant that serves vegetarian food,affirm
okay uh how about a bristish,reqalts
type of food,request
um east part,inform
okay and is that british food,confirm
uh yes iam looking for a british type of food restaurant,affirm
okay and can i get their phone number,request
okay um,ack
thats all,no_act
uh no thats it thank you and good bye,negate
japanese,inform
japanese,inform
in the center,inform
and the address,request
address,request
address,request
the address,request
in the center,inform
phone,request
phone,request
thank you good bye,thankyou
i want to find a restaurant in the west part of town that serves vietnamese food,inform
what is the phone number,request
and what is the price range,request
thank you good bye,thankyou
i need an expensive restaurant in the east part of town,inform
oh i dont care,inform
whats the address,request
alright thank you good bye,bye
i want a moderately priced restaurant in the north town,inform
what is the address,request
what is the phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the west part of town,inform
whats the address,request
is there anything else,reqalts
whats the address,request
phone number,request
and the type of food they serve,request
wha what type of food,request
thank you good bye,thankyou
moderate price,inform
brazilian food,inform
gastropub,inform
address,request
phone number,request
area,request
what is the are,request
location,request
thank you good bye,thankyou
id like a cheap restaurant in the south part of town,inform
can i have the phone number and type of food please,request
what type of food do they serve,request
thank you good bye,thankyou
looking for an expensive restaurant,inform
part of town,request
yes,affirm
any kind,inform
south part of town,inform
uh whats the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant in the south part of town,inform
what is the address,request
thank you good bye,thankyou
japanese food,inform
japanese food,inform
price range,request
address,request
thank you good bye,thankyou
cheap restaurant,inform
dont care,inform
greek,inform
italian,inform
italian,inform
cheap restaurant,inform
italian,inform
address,request
address,request
phone number,request
thank you good bye,thankyou
uh cheap restaurant serving scandinavian food,inform
how about italian food,reqalts
address,request
phone number,request
thank you good bye,thankyou
i want to find a moderately priced restaurant in the south part of time,inform
can i get the address phone number and price of food,request
unintelligible,no_act
and what type of food,request
thank you good bye,thankyou
hi i need a cheap restaurant in the south part of town,hello
can i have the address and phone number,request
okay thank you good bye,thankyou
european food,inform
european,inform
dont care,inform
expensive,inform
what is the phone number,request
thank you good bye,thankyou
is there anything that serves caribbean food,reqalts
i need an expensive restaurant that serves french food,inform
whats the phone number,request
thank you good bye,thankyou
i want a moderate priced restaurant that serves indian food,inform
moderate priced restaurant that serves indian food,inform
is there anything else,reqalts
is there anything else,reqalts
im looking for a moderate priced restaurant that serves indian food,inform
is there anything else,reqalts
is there anything else,reqalts
im looking for a moderate priced restaurant that serves indian food,inform
is there anything ele,reqalts
is there anything else,reqalts
is there anything else,reqalts
the address,request
what is the address,request
see you goodbye,bye
see you goodbye,bye
see you goodbye,bye
im looking for a korean restaurant,inform
korean restaurant,inform
whats the address,request
phone number,request
whats the post code,request
thank you good bye,thankyou
moderately priced restaurant in the north part of town,inform
moderate,inform
what type of food,request
address and phone number,request
thank you good bye,thankyou
restaurant north,inform
welsh food,inform
asian oriental,inform
address,request
phone number,request
thank you good bye,thankyou
sil,no_act
british food in north part of town,inform
indian food,inform
thank you,thankyou
indian,inform
thank you,thankyou
sil,no_act
great day unintelligible,ack
unintelligible,no_act
indian food,inform
unintelligible,no_act
just fuck every time i do it and this moron says that its indian sucks,inform
indian food,inform
want indian food,inform
address phone number prices,request
address,request
price range,request
thank you,thankyou
thank you goodbye,thankyou
im looking for polish food,inform
yes,affirm
what about thai food,reqalts
thai food,inform
whats the address,request
what about the phone number,request
thank you good bye,thankyou
i want a cheap restaurant in the west part of town,inform
noise,no_act
noise,no_act
im looking for a cheap restaurant in the west part of town,inform
can i get the phone number and address,request
thank you good bye,thankyou
im looking for a restaurant in the south part of town it should serve kosher food,inform
what about portuguese,reqalts
whats the phone number,request
whats the phone number,request
whats the address,request
thank you good bye,thankyou
im looking for a moderately priced restaurant,inform
it doesnt matter,inform
the south part of town,inform
can i get the address,request
and whats the phone number for that,request
okay thank you good bye,thankyou
unintelligible,no_act
cheap,inform
uh dont care but can it be vegetarian food,inform
what about indian then,reqalts
cheap indian food,inform
in the cheap price range,request
can i have the address,request
thank you good bye,thankyou
i would like a restaurant,inform
that serves unintelligible,no_act
belgian food,inform
how about korean food,reqalts
korean,inform
what about korean food,reqalts
what about korean,reqalts
are they expensive,inform
whats their address,request
and their phone number,request
and what area of town are they,request
thank you good bye,thankyou
i need a cheap restaurant serving italian food,inform
i dont care,inform
could i get the address,request
thank you bye,thankyou
looking for a cheap restaurant that serves spanish food,inform
whats the address,request
and whats the postcode,request
thank you goodbye,thankyou
i want to find a restaurant in the centre that serves thai food,inform
thai,inform
what is the phone number and address,request
what is the address,request
what type of food is it,request
no,negate
sil,no_act
no,negate
what about thai,reqalts
unintelligible yeah what about thai food,affirm
does it serve thai food,confirm
what is the address and phone number,request
what is the phone number,request
thank you goodbye,thankyou
greek food,inform
french food,inform
center,inform
yes,affirm
address,request
phone number,request
price range,request
thank you good bye,thankyou
eritrean food in the east part of town,inform
cough,no_act
chinese food,inform
may i get the address phone number,request
and postcode,request
may i get the address and phone number,request
may i get the address,request
thank you goodbye,thankyou
im looking for a restaurant in the west part of town that serves christmas food,inform
what about italian,reqalts
can i get the phone number,request
thank you good bye,thankyou
east part of town,inform
i dont care,inform
expensive,inform
phone number,request
address,request
thank you good bye,thankyou
im looking for a expensive restaurant serving mediterranean food,inform
what is the phone number and post code,request
thank you good bye,thankyou
noise,no_act
unintelligible,no_act
noise,no_act
polynesian food,inform
korean food,inform
address,request
what is their price range,request
thank you good bye,thankyou
looking for a moderately priced restaurant in the east part of town,inform
whats the address,request
thank you good bye,thankyou
thank you good bye,thankyou
im looking for a moderately priced restaurant in the north part of town,inform
what is the phone number,request
what is the type of food,request
what type of food,request
thank you good bye,thankyou
moderately priced restaurant that serves indian food,inform
indian,inform
and what part of town is it in,request
uh yes,affirm
and where is it,request
is that in the north part of town,confirm
and whats the phone number,request
thank you good bye,thankyou
im looking for a moderately priced restaurant in the west part of town,inform
is there anything else,reqalts
yes,affirm
is there anything else,reqalts
is there anything else,reqalts
are there any other options,reqalts
whats the phone number,request
whats the post code,request
thank you good bye,thankyou
